Geography,shannon_index,observed_species,total_abundance,Age
Austria,0.003,216.762,0.0,67.063
China,0.003,197.273,0.0,44.74
Denmark,0.003,268.257,0.0,56.126
Fiji,0.003,299.943,0.0,42.803
Finland,0.002,109.0,0.0,2.0
France,0.003,277.787,0.0,60.574
Germany,0.003,268.054,0.0,55.969
India,0.003,153.245,0.0,29.7
Italy,0.003,209.476,0.0,56.968
Japan,0.003,163.123,0.0,60.588
Luxembourg,0.003,234.615,0.0,35.692
Madagascar,0.003,296.536,0.0,35.241
Mongolia,0.004,327.391,0.0,
Peru,0.004,391.194,0.0,18.743
Spain,0.003,240.429,0.0,42.429
Sweden,0.003,318.6,0.0,70.533
Tanzania,0.004,388.0,0.0,32.0
Thailand,0.003,244.067,0.0,42.267
UK,0.003,268.093,0.0,64.367
USA,0.003,176.95,0.0,29.26
